relative_path,label,label_name,source,target1,target2,method,category,type,race,gender,filename
FakeVideo-FakeAudio/African/men/id01521/00109_id01856_wavtolip.mp4,1,fake,id01521,id01856,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00109_id01856_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01521/00109_id02051_wavtolip.mp4,1,fake,id01521,id02051,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00109_id02051_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01528/00017_id00944_DiW5D62667U_id02296_wavtolip.mp4,1,fake,id01528,id00944,id02296,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00017_id00944_DiW5D62667U_id02296_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01544/00044_3_id00830_wavtolip.mp4,1,fake,id01544,3,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00044_3_id00830_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01610/00090_id00944_wavtolip.mp4,1,fake,id01610,id00944,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00090_id00944_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01610/00090_id02040_wavtolip.mp4,1,fake,id01610,id02040,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00090_id02040_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01637/00002_id00076_wavtolip.mp4,1,fake,id01637,id00076,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00002_id00076_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01856/00006_id01076_wavtolip.mp4,1,fake,id01856,id01076,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00006_id01076_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01856/00006_id01920_w9C_knCPD94_id00475_wavtolip.mp4,1,fake,id01856,id01920,knCPD94,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00006_id01920_w9C_knCPD94_id00475_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01920/00099_id01717_JDW6p8yU13A_id01598_wavtolip.mp4,1,fake,id01920,id01717,id01598,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00099_id01717_JDW6p8yU13A_id01598_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01933/00028_3_id02494_wavtolip.mp4,1,fake,id01933,3,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00028_3_id02494_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id02040/00476_id01530_8kiAt_4gQGI_id02005_wavtolip.mp4,1,fake,id02040,id01530,4gQGI,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00476_id01530_8kiAt_4gQGI_id02005_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id02296/00019_id01521_jthjSmLdLOg_id00830_wavtolip.mp4,1,fake,id02296,id01521,id00830,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00019_id01521_jthjSmLdLOg_id00830_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id02316/00094_id01392_wavtolip.mp4,1,fake,id02316,id01392,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00094_id01392_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id02342/00191_id00391_TjJgUZaenWI_id00475_wavtolip.mp4,1,fake,id02342,id00391,id00475,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00191_id00391_TjJgUZaenWI_id00475_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id00359/00053_id01838_q_lUk55OrL0_faceswap_id05106_wavtolip.mp4,1,fake,id00359,id01838,lUk55OrL0,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00053_id01838_q_lUk55OrL0_faceswap_id05106_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id00592/00017_id00707_wavtolip.mp4,1,fake,id00592,id00707,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00017_id00707_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id00829/00271_id01838_q_lUk55OrL0_id02071_wavtolip.mp4,1,fake,id00829,id01838,lUk55OrL0,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,women,00271_id01838_q_lUk55OrL0_id02071_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01532/00065_id00359_wavtolip.mp4,1,fake,id01532,id00359,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00065_id00359_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01661/00059_id04939_i4v2cXo9HIQ_id02071_wavtolip.mp4,1,fake,id01661,id04939,id02071,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,women,00059_id04939_i4v2cXo9HIQ_id02071_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01838/00126_id00460_wavtolip.mp4,1,fake,id01838,id00460,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00126_id00460_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01838/00126_id01838_wavtolip.mp4,1,fake,id01838,id01838,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00126_id01838_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01838/00126_id05235_ASy8lP3SRtw_faceswap_id00568_wavtolip.mp4,1,fake,id01838,id05235,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00126_id05235_ASy8lP3SRtw_faceswap_id00568_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id01838/00126_id05251_wavtolip.mp4,1,fake,id01838,id05251,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00126_id05251_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02301/00092_id02838_wavtolip.mp4,1,fake,id02301,id02838,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00092_id02838_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02301/00092_id03656_draVIyyqLtk_id04705_wavtolip.mp4,1,fake,id02301,id03656,id04705,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,women,00092_id03656_draVIyyqLtk_id04705_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02301/00092_id05252_wavtolip.mp4,1,fake,id02301,id05252,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00092_id05252_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02508/00083_id00592_wavtolip.mp4,1,fake,id02508,id00592,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00083_id00592_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02586/00042_id04939_i4v2cXo9HIQ_faceswap_id04245_wavtolip.mp4,1,fake,id02586,id04939,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00042_id04939_i4v2cXo9HIQ_faceswap_id04245_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02617/00028_id05231_wavtolip.mp4,1,fake,id02617,id05231,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00028_id05231_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02808/00056_id05231_wavtolip.mp4,1,fake,id02808,id05231,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00056_id05231_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02824/00130_id03747_wQOOhZvnrq4_faceswap_id05106_wavtolip.mp4,1,fake,id02824,id03747,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00130_id03747_wQOOhZvnrq4_faceswap_id05106_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02824/00130_id05231_wfbM5puT6eQ_id02721_wavtolip.mp4,1,fake,id02824,id05231,id02721,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,women,00130_id05231_wfbM5puT6eQ_id02721_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id02948/00298_id02586_wavtolip.mp4,1,fake,id02948,id02586,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00298_id02586_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id03658/00077_id04055_wavtolip.mp4,1,fake,id03658,id04055,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00077_id04055_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id03713/00249_id02617_4EZjRXC4fLk_faceswap_id00832_wavtolip.mp4,1,fake,id03713,id02617,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00249_id02617_4EZjRXC4fLk_faceswap_id00832_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04055/00001_id01532_wavtolip.mp4,1,fake,id04055,id01532,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00001_id01532_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04374/00032_id02721_wavtolip.mp4,1,fake,id04374,id02721,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00032_id02721_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04374/00032_id04689_0YqK1ksKjLg_faceswap_id00371_wavtolip.mp4,1,fake,id04374,id04689,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00032_id04689_0YqK1ksKjLg_faceswap_id00371_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04540/00078_id00707_wavtolip.mp4,1,fake,id04540,id00707,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00078_id00707_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04689/00005_id05235_wavtolip.mp4,1,fake,id04689,id05235,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00005_id05235_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04705/00408_id05252_CMxIX3absYM_faceswap_id02948_wavtolip.mp4,1,fake,id04705,id05252,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00408_id05252_CMxIX3absYM_faceswap_id02948_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04705/00408_id05252_CMxIX3absYM_faceswap_id03747_wavtolip.mp4,1,fake,id04705,id05252,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,women,00408_id05252_CMxIX3absYM_faceswap_id03747_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04820/00015_id02617_wavtolip.mp4,1,fake,id04820,id02617,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00015_id02617_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id04939/00174_id00592_wavtolip.mp4,1,fake,id04939,id00592,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00174_id00592_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id05235/00052_id01838_wavtolip.mp4,1,fake,id05235,id01838,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00052_id01838_wavtolip.mp4
FakeVideo-FakeAudio/African/women/id05252/00052_id02838_wavtolip.mp4,1,fake,id05252,id02838,-,wav2lip,D,FakeVideo-FakeAudio,African,women,00052_id02838_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id00056/00028_id07102_4gKPlwvjpsI_faceswap_id06269_wavtolip.mp4,1,fake,id00056,id07102,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00028_id07102_4gKPlwvjpsI_faceswap_id06269_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id00597/00019_id04726_i72-Hb0jayI_id02561_wavtolip.mp4,1,fake,id00597,id04726,id02561,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00019_id04726_i72-Hb0jayI_id02561_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id01204/00092_id02553_wavtolip.mp4,1,fake,id01204,id02553,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00092_id02553_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id01204/00092_id03889_C54Tw6xrc4U_id09143_wavtolip.mp4,1,fake,id01204,id03889,id09143,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00092_id03889_C54Tw6xrc4U_id09143_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id01683/00052_2_id06269_wavtolip.mp4,1,fake,id01683,2,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00052_2_id06269_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id02332/00055_id02365_wavtolip.mp4,1,fake,id02332,id02365,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00055_id02365_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id02493/00073_id07338_wavtolip.mp4,1,fake,id02493,id07338,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00073_id07338_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id02493/00073_id09053_6baCAGutGFg_faceswap_id08613_wavtolip.mp4,1,fake,id02493,id09053,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00073_id09053_6baCAGutGFg_faceswap_id08613_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id02553/00043_id02365_KTHM_LvjcgY_id05383_wavtolip.mp4,1,fake,id02553,id02365,LvjcgY,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00043_id02365_KTHM_LvjcgY_id05383_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id03965/00051_id04774_wavtolip.mp4,1,fake,id03965,id04774,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00051_id04774_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id04111/00015_id00056_GUh0mNVw0U8_id06467_wavtolip.mp4,1,fake,id04111,id00056,id06467,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00015_id00056_GUh0mNVw0U8_id06467_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id04687/00066_id06152_wavtolip.mp4,1,fake,id04687,id06152,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00066_id06152_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id04726/00245_id08299_wavtolip.mp4,1,fake,id04726,id08299,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00245_id08299_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id05332/00065_id00863_wavtolip.mp4,1,fake,id05332,id00863,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00065_id00863_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id05383/00015_id03965_wavtolip.mp4,1,fake,id05383,id03965,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00015_id03965_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06269/00005_id03889_wavtolip.mp4,1,fake,id06269,id03889,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00005_id03889_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06467/00010_id00740_Gn7jhAvAPaE_id04687_wavtolip.mp4,1,fake,id06467,id00740,id04687,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00010_id00740_Gn7jhAvAPaE_id04687_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06535/00183_1_id08613_wavtolip.mp4,1,fake,id06535,1,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00183_1_id08613_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06535/00183_2_id07338_wavtolip.mp4,1,fake,id06535,2,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00183_2_id07338_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06594/00002_id01212_wavtolip.mp4,1,fake,id06594,id01212,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00002_id01212_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06776/00021_id03168_wavtolip.mp4,1,fake,id06776,id03168,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00021_id03168_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id06776/00021_id06269_wavtolip.mp4,1,fake,id06776,id06269,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00021_id06269_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id07102/00052_id04687_wavtolip.mp4,1,fake,id07102,id04687,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00052_id04687_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id08299/00110_0_id01204_wavtolip.mp4,1,fake,id08299,0,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00110_0_id01204_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id08299/00110_id06470_wavtolip.mp4,1,fake,id08299,id06470,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00110_id06470_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/men/id09053/00005_id07102_4gKPlwvjpsI_faceswap_id09053_wavtolip.mp4,1,fake,id09053,id07102,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00005_id07102_4gKPlwvjpsI_faceswap_id09053_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00137/00025_id00566_V3Hg_HMhuwQ_id07739_wavtolip.mp4,1,fake,id00137,id00566,HMhuwQ,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00025_id00566_V3Hg_HMhuwQ_id07739_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00363/00014_id03379_A32nCObAHiI_id09175_wavtolip.mp4,1,fake,id00363,id03379,id09175,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00014_id03379_A32nCObAHiI_id09175_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00363/00014_id05844_wavtolip.mp4,1,fake,id00363,id05844,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00014_id05844_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00430/00209_id02587_wavtolip.mp4,1,fake,id00430,id02587,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00209_id02587_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00430/00209_id06388_AtidJ-WlONc_id06462_wavtolip.mp4,1,fake,id00430,id06388,id06462,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00209_id06388_AtidJ-WlONc_id06462_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00579/00030_id00582_9gvF6IohoUI_id08819_wavtolip.mp4,1,fake,id00579,id00582,id08819,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00030_id00582_9gvF6IohoUI_id08819_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00763/00074_id05620_wavtolip.mp4,1,fake,id00763,id05620,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00074_id05620_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id00763/00074_id06066_wavtolip.mp4,1,fake,id00763,id06066,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00074_id06066_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id01451/00099_id04414_0sJN-9GIO-M_id00137_wavtolip.mp4,1,fake,id01451,id04414,id00137,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00099_id04414_0sJN-9GIO-M_id00137_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id01451/00099_id09171_B-JRLp6chC0_faceswap_id08397_wavtolip.mp4,1,fake,id01451,id09171,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00099_id09171_B-JRLp6chC0_faceswap_id08397_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id02587/00020_id00566_V3Hg_HMhuwQ_faceswap_id09116_wavtolip.mp4,1,fake,id02587,id00566,HMhuwQ,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00020_id00566_V3Hg_HMhuwQ_faceswap_id09116_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id02807/00032_id07739_TmuvLVNBm8o_id05631_wavtolip.mp4,1,fake,id02807,id07739,id05631,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00032_id07739_TmuvLVNBm8o_id05631_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id03211/00032_id03940_axeR0CLu96U_id06462_wavtolip.mp4,1,fake,id03211,id03940,id06462,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00032_id03940_axeR0CLu96U_id06462_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id03379/00032_id00763_lI1GEn3Ima0_id06462_wavtolip.mp4,1,fake,id03379,id00763,id06462,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00032_id00763_lI1GEn3Ima0_id06462_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id03940/00025_id00363_wavtolip.mp4,1,fake,id03940,id00363,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00025_id00363_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id04144/00028_id02587_wavtolip.mp4,1,fake,id04144,id02587,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00028_id02587_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id04414/00001_id00430_wavtolip.mp4,1,fake,id04414,id00430,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00001_id00430_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id04701/00017_id06462_Nn79kE76MA4_faceswap_id00566_wavtolip.mp4,1,fake,id04701,id06462,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00017_id06462_Nn79kE76MA4_faceswap_id00566_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id05620/00005_id04144_wavtolip.mp4,1,fake,id05620,id04144,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00005_id04144_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id05631/00073_id08397_wavtolip.mp4,1,fake,id05631,id08397,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00073_id08397_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id06054/00010_id09171_wavtolip.mp4,1,fake,id06054,id09171,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00010_id09171_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id06388/00005_id09171_B-JRLp6chC0_id00579_wavtolip.mp4,1,fake,id06388,id09171,id00579,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00005_id09171_B-JRLp6chC0_id00579_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id06427/00138_id07799_wavtolip.mp4,1,fake,id06427,id07799,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00138_id07799_wavtolip.mp4
FakeVideo-FakeAudio/Asian (East)/women/id06462/00014_id00430_wavtolip.mp4,1,fake,id06462,id00430,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00014_id00430_wavtolip.mp4
